"ID","Filial","Type_ts","passport_region","VIP","Brand","Model","Yr_production","GAP","married","KBM","KBM_prol_est","delta_kbm","deduct","deduct_amount","product","Bank","channel - map","category","kvs_type","Age","Exp","discount","Amount - gr","sex","premium_car","price_gr","price_prc","OSAGO_clnt","target"
"6726","Санкт - Петербургский","Иностранные","Ленинградская область","","FORD","EXPLORER","2015","Нет","Не состоит в браке","6","4","-2","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","38","10","1","1600000","M","0","70000","0.05","0","0"
"6727","Челябинский","Иностранные","Челябинская область","","KIA","RIO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Уверенный","Банк","Автосалоны","NB 0-1","Водители согласно перечню","47","24","1","600000","M","0","30000","0.04","0","0"
"6728","Краснодарский","Отечественные","Краснодарский край","","LADA","2121","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","35","9","1","600000","M","0","25000","0.035","1","0"
"6729","Московский","Иностранные","Москва","","KIA","SPORTAGE","2013","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Legacy","Без банка","Розница","NB 2+","Водители согласно перечню","40","19","0.9","800000","M","0","25000","0.03","1","0"
"6730","Московский","Иностранные","Москва","","NISSAN","ALMERA","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","54","30","0.9","600000","M","0","10000","0.01","1","1"
"6731","Санкт - Петербургский","Иностранные","Ямало-Ненецкий автономный округ","","HYUNDAI","SOLARIS","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","25","6","1","600000","M","0","55000","0.07","0","0"
"6732","Ставропольский","Иностранные","Ставропольский край","","TOYOTA","CAMRY","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","45","25","1.05","2000000","F","0","70000","0.055","1","1"
"6733","Ставропольский","Иностранные","Ставропольский край","","HYUNDAI","SOLARIS","2016","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Сетелем","Автосалоны","RN","Водители согласно перечню","41","22","0.9","400000","M","0","10000","0.03","1","0"
"6734","Тульский","Иностранные","Курская область","Особый статус +","BMW","X3","2014","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Уверенный","Без банка","Розница","RN","Водители согласно перечню","44","11","1","1600000","F","1","40000","0.02","1","1"
"6735","Московский","Иностранные","Москва","","MAZDA","6","2017","Нет","Не состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","RN","Водители согласно перечню","26","7","1.1","1000000","M","0","70000","0.06","0","0"
"6736","Московский","Иностранные","Москва","","TOYOTA","LAND CRUISER PRADO 150","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","44","20","1","2600000","M","1","70000","0.035","1","1"
"6737","Московский","Иностранные","Московская область","","MAZDA","6","2018","Нет","Не состоит в браке","8","7","-1","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","30","12","1.1","1400000","M","0","70000","0.07","1","0"
"6738","Тверской","Иностранные","Тверская область","","TOYOTA","RAV 4","2015","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Розница","RN","Водители согласно перечню","44","11","1.05","1000000","F","0","10000","0.01","1","1"
"6739","Ижевский","Иностранные","Удмуртская Республика","","NISSAN","ALMERA","2016","Нет","Состоит в браке","4","2","-2","Без франшизы","0","Уверенный","Без банка","Розница","RN","Водители согласно перечню","40","21","1","400000","M","0","15000","0.04","1","1"
"6740","Московский","Иностранные","Московская область","","TOYOTA","RAV 4","2018","Нет","Состоит в браке","8","7","-1","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","51","11","0.95","1600000","M","0","60000","0.04","1","1"
"6741","Московский","Иностранные","Москва","","SKODA","KODIAQ","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","35","14","1.1","1800000","F","0","60000","0.03","0","0"
"6742","Московский","Иностранные","Республика Мордовия","","FORD","KUGA","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","43","23","1","1200000","F","0","25000","0.02","1","1"
"6743","Тверской","Иностранные","Тверская область","","KIA","SPORTAGE","2018","Нет","Состоит в браке","8","7","-1","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","56","31","1.1","1400000","M","0","50000","0.03","0","1"
"6744","Челябинский","Иностранные","Челябинская область","","HYUNDAI","SANTA FE","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","56","31","0.9","1600000","M","0","50000","0.025","1","0"
"6745","Московский","Иностранные","Владимирская область","","HYUNDAI","CRETA","2017","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","29","3","1.1","800000","F","0","15000","0.02","0","0"
"6746","Самарский","Иностранные","Самарская область","","KIA","CEED","2014","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Розница","RN","Водители согласно перечню","44","23","1","400000","M","0","10000","0.015","1","1"
"6747","Московский","Иностранные","Москва","","TOYOTA","CAMRY","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","35","2","1","1800000","M","0","70000","0.06","0","0"
"6748","Московский","Иностранные","Московская область","","HYUNDAI","SOLARIS","2017","Да","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Розница","NB 0-1","Водители согласно перечню","49","4","1","800000","M","0","65000","0.075","1","0"
"6749","Ростовский","Иностранные","Ростовская область","","HYUNDAI","SOLARIS","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","29","10","1","800000","M","0","65000","0.075","1","1"
"6750","Московский","Иностранные","Московская область","","HYUNDAI","IX35","2015","Да","Состоит в браке","6","4","-2","Без франшизы","0","Уверенный","Без банка","Розница","RN","Водители согласно перечню","59","39","1","1000000","M","0","20000","0.02","0","1"
"6751","Санкт - Петербургский","Отечественные","Тверская область","","LADA","VESTA","2018","Нет","Состоит в браке","8","7","-1","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","46","10","1","800000","M","0","35000","0.04","1","1"
"6752","Ижевский","Отечественные","Удмуртская Республика","","LADA","GRANTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","44","19","1","400000","M","0","25000","0.055","0","0"
"6753","Московский","Иностранные","Москва","","KIA","CEED SW","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Сетелем","Розница","RN","Водители согласно перечню","56","38","1.1","600000","M","0","30000","0.04","1","1"
"6754","Челябинский","Иностранные","Челябинская область","","KIA","RIO","2016","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","47","23","1","400000","M","0","10000","0.02","0","0"
"6755","Санкт - Петербургский","Отечественные","Санкт-Петербург","","LADA","GRANTA","2015","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","RN","Водители согласно перечню","44","13","1","200000","F","0","10000","0.015","1","0"
"6756","Московский","Иностранные","Московская область","","HYUNDAI","CRETA","2016","Да","Состоит в браке","4","3","-1","Без франшизы","0","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","34","15","1.05","1000000","M","0","35000","0.03","1","1"
"6757","Магнитогорский","Иностранные","Челябинская область","","RENAULT","LOGAN","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Розница","NB 0-1","Водители согласно перечню","44","23","1","400000","F","0","10000","0.02","0","1"
"6758","Челябинский","Иностранные","Челябинская область","","KIA","UM (SORENTO PRIME)","2017","Нет","Состоит в браке","7","5","-2","Безусловная франшиза","20000-","Классика","Без банка","Розница","RN","Водители согласно перечню","30","12","1","2000000","M","1","70000","0.04","1","0"
"6759","Краснодарский","Иностранные","Краснодарский край","","DATSUN","ON-DO","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","53","12","1","400000","F","0","35000","0.07","1","0"
"6760","Новосибирский","Иностранные","Новосибирская область","","VOLKSWAGEN","TIGUAN","2017","Да","Состоит в браке","6","4","-2","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Розница","RN","Водители согласно перечню","46","12","1.05","2000000","F","0","55000","0.025","1","1"
"6761","Ставропольский","Иностранные","Ставропольский край","","VOLKSWAGEN","TIGUAN","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","27","9","1","1200000","M","0","30000","0.02","1","1"
"6762","Краснодарский","Иностранные","Краснодарский край","","HYUNDAI","CRETA","2018","Нет","Состоит в браке","8","7","-1","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","44","26","1","1200000","F","0","35000","0.03","0","1"
"6763","Краснодарский","Отечественные","Краснодарский край","","LADA","2121","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","24","5","0.9","400000","M","0","30000","0.055","0","0"
"6764","Санкт - Петербургский","Иностранные","Красноярский край","","KIA","RIO","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","27","7","1.05","800000","F","0","70000","0.095","0","0"
"6765","Белгородский","Иностранные","Белгородская область","Особый статус +","LAND ROVER","DISCOVERY","2014","Нет","Состоит в браке","4","2","-2","Без франшизы","0","Уверенный","Без банка","Розница","RN","Водители согласно перечню","39","12","1","2400000","F","1","40000","0.015","0","1"
"6766","Белгородский","Иностранные","Белгородская область","","MAZDA","CX-5","2018","Да","Состоит в браке","8","6","-2","Без франшизы","0","Уверенный","Банк","Автосалоны","NB 0-1","Водители согласно перечню","58","40","1","1800000","M","0","40000","0.02","1","0"
"6767","Самарский","Иностранные","Самарская область","","RENAULT","SANDERO","2018","Да","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","38","18","1","600000","F","0","10000","0.01","1","1"
"6768","Белгородский","Отечественные","Белгородская область","","LADA","2121","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","61","18","1","400000","M","0","10000","0.02","1","1"
"6769","Московский","Иностранные","Кабардино-Балкарская Республика","","DATSUN","ON-DO","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","54","30","1","400000","M","0","20000","0.05","0","0"
"6770","Московский","Иностранные","Москва","","MITSUBISHI","OUTLANDER","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","46","17","1","1800000","F","0","70000","0.045","0","0"
"6771","Краснодарский","Иностранные","Краснодарский край","","HYUNDAI","CRETA","2016","Нет","Состоит в браке","5","3","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","63","40","1","600000","M","0","20000","0.04","1","0"
"6772","Новосибирский","Иностранные","Новосибирская область","","VOLKSWAGEN","POLO","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","44","9","0.9","800000","F","0","30000","0.035","1","0"
"6773","Московский","Иностранные","Москва","","TOYOTA","RAV 4","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","61","39","1","1400000","M","0","35000","0.02","0","1"
"6774","Ростовский","Отечественные","Краснодарский край","","LADA","GRANTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","57","21","1","400000","F","0","10000","0.01","1","0"
"6775","Московский","Иностранные","Москва","","NISSAN","QASHQAI","2014","Нет","Не состоит в браке","4","2","-2","Без франшизы","0","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","60","19","1","800000","F","0","25000","0.03","0","0"
"6776","Магнитогорский","Иностранные","Челябинская область","","KIA","RIO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","NB 0-1","Водители согласно перечню","37","12","0.95","600000","F","0","20000","0.025","0","0"
"6777","Казанский","Отечественные","Республика Татарстан","","LADA","XRAY","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Уверенный","Банк","Автосалоны","NB 0-1","Водители согласно перечню","41","13","1","600000","M","0","30000","0.045","0","0"
"6778","Кемеровский","Отечественные","Кемеровская область","","LADA","LARGUS","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","27","7","1","400000","M","0","10000","0.02","1","0"
"6779","Санкт - Петербургский","Иностранные","Ямало-Ненецкий автономный округ","","FORD","KUGA","2017","Да","Состоит в браке","6","4","-2","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Розница","RN","Водители согласно перечню","60","23","1.05","1400000","M","0","35000","0.025","1","0"
"6780","Пермский","Иностранные","Пермский край","","HYUNDAI","SOLARIS","2017","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000-","Классика","Сетелем","Розница","RN","Водители согласно перечню","54","20","0.95","600000","M","0","30000","0.04","0","1"
"6781","Московский","Иностранные","Московская область","","VOLKSWAGEN","TIGUAN","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","50","22","1.05","2000000","M","0","40000","0.015","1","0"
"6782","Екатеринбургский","Иностранные","Свердловская область","","FORD","FOCUS","2017","Нет","Состоит в браке","7","5","-2","Безусловная франшиза","20000-","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","57","38","1","800000","M","0","30000","0.035","0","0"
"6783","Санкт - Петербургский","Иностранные","Республика Коми","","VOLKSWAGEN","POLO","2017","Нет","Не состоит в браке","7","5","-2","Безусловная франшиза","20000+","Классика","Сетелем","Розница","RN","Ограничение по стажу и возрасту, без ограничения количества лиц","30","5","0.95","600000","M","0","25000","0.045","0","0"
"6784","Санкт - Петербургский","Иностранные","Санкт-Петербург","","FORD","KUGA","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","38","13","1.05","1000000","F","0","40000","0.03","0","0"
"6785","Московский","Иностранные","Москва","","VOLKSWAGEN","TOUAREG","2014","Нет","Не состоит в браке","8","7","-1","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 2+","Водители согласно перечню","30","11","1","2000000","F","1","70000","0.03","0","0"
"6786","Московский","Иностранные","Москва","","VOLKSWAGEN","POLO","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","47","20","1.1","600000","M","0","10000","0.02","0","0"
"6787","Челябинский","Иностранные","Челябинская область","","HYUNDAI","SOLARIS","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","35","16","1","800000","M","0","35000","0.045","0","0"
"6788","Казанский","Иностранные","Республика Татарстан","","KIA","RIO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","44","15","1.05","800000","M","0","40000","0.05","1","0"
"6789","Московский","Иностранные","Московская область","","SKODA","RAPID","2017","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","52","19","0.9","600000","M","0","25000","0.04","0","0"
"6790","Казанский","Иностранные","Республика Татарстан","","KIA","RIO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","63","19","1","600000","M","0","40000","0.06","1","0"
"6791","Санкт - Петербургский","Иностранные","Санкт-Петербург","","VOLKSWAGEN","POLO","2017","Да","Не состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","RN","Ограничение по стажу и возрасту, без ограничения количества лиц","23","3","1.05","600000","M","0","30000","0.055","1","0"
"6792","Белгородский","Отечественные","Белгородская область","","LADA","XRAY","2017","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","54","18","1","400000","M","0","10000","0.01","1","1"
"6793","Самарский","Иностранные","Самарская область","","SKODA","OCTAVIA","2018","Да","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","34","10","1","1000000","M","0","60000","0.05","1","0"
"6794","Магнитогорский","Иностранные","Республика Башкортостан","","TOYOTA","LAND CRUISER PRADO 150","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","49","30","0.9","3000000","M","1","70000","0.03","1","0"
"6795","Ставропольский","Иностранные","Астраханская область","","KIA","RIO","2017","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","RN","Водители согласно перечню","38","15","0.95","600000","M","0","30000","0.045","1","0"
"6796","Ростовский","Отечественные","Ростовская область","","LADA","VESTA","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","40","4","1","400000","M","0","10000","0.01","0","0"
"6797","Московский","Иностранные","Москва","","NISSAN","X-TRAIL","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","RN","Водители согласно перечню","41","16","1","1400000","M","0","40000","0.025","0","1"
"6798","Краснодарский","Отечественные","Краснодарский край","","LADA","KALINA","2016","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","35","17","1","200000","M","0","10000","0.02","1","0"
"6799","Московский","Иностранные","Санкт-Петербург","Особый статус +","MERCEDES-BENZ","E","2018","Да","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Розница","NB 0-1","Водители согласно перечню","47","14","1","2600000","F","1","70000","0.025","1","1"
"6800","Московский","Иностранные","Москва","","FORD","KUGA","2015","Да","Не состоит в браке","2","0","-2","Без франшизы","0","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","29","10","1","800000","M","0","35000","0.035","1","1"
"6801","Краснодарский","Иностранные","Краснодарский край","","HYUNDAI","SOLARIS","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","34","7","1.05","800000","F","0","25000","0.025","1","0"
"6802","Ставропольский","Иностранные","Ставропольский край","","KIA","OPTIMA","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","37","19","1","1200000","M","0","65000","0.05","1","0"
"6803","Московский","Иностранные","Москва","","SUBARU","FORESTER","2018","Нет","Не состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000+","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","58","31","1","2200000","F","0","55000","0.025","1","1"
"6804","Московский","Иностранные","Московская область","","KIA","SPORTAGE","2016","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","62","21","1","1200000","M","0","25000","0.02","0","0"
"6805","Уфимский","Иностранные","Республика Башкортостан","","SKODA","SUPERB","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","64","23","1","1400000","F","0","50000","0.03","1","0"
"6806","Московский","Иностранные","Московская область","","MERCEDES-BENZ","C","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","28","5","1","2000000","M","1","70000","0.035","1","0"
"6807","Санкт - Петербургский","Иностранные","Санкт-Петербург","","VOLKSWAGEN","TIGUAN","2013","Нет","Состоит в браке","0","0","-100","Без франшизы","0","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","65","44","1","800000","M","0","20000","0.025","1","1"
"6808","Московский","Иностранные","Москва","","HYUNDAI","CRETA","2017","Да","Не состоит в браке","8","6","-2","Без франшизы","0","Legacy","Банк","Розница","NB 0-1","Водители согласно перечню","37","2","1","1000000","F","0","30000","0.025","1","0"
"6809","Краснодарский","Иностранные","Краснодарский край","","KIA","SOUL","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","34","10","1.05","1000000","M","0","30000","0.03","1","0"
"6810","Московский","Иностранные","Краснодарский край","","KIA","SORENTO","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","33","15","1","2400000","M","0","45000","0.015","0","0"
"6811","Магнитогорский","Отечественные","Республика Башкортостан","","LADA","GRANTA","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Розница","NB 0-1","Водители согласно перечню","40","19","1.05","400000","M","0","10000","0.015","0","0"
"6812","Челябинский","Иностранные","Челябинская область","","VOLKSWAGEN","JETTA","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Розница","NB 0-1","Водители согласно перечню","40","20","1","1200000","M","0","25000","0.02","1","0"
"6813","Московский","Иностранные","Краснодарский край","","LEXUS","RX","2018","Нет","Не состоит в браке","8","7","-1","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","59","26","1","3000000","M","1","70000","0.02","1","1"
"6814","Московский","Иностранные","Нижегородская область","","VOLKSWAGEN","TERAMONT","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","33","10","1","3000000","M","0","70000","0.025","1","0"
"6815","Московский","Иностранные","Москва","Особый статус +","MERCEDES-BENZ","GL","2014","Нет","Состоит в браке","8","7","-1","Франшиза 2-ой страховой случай","20000+","Классика","Без банка","Розница","NB 2+","Водители согласно перечню","35","1","1.1","3000000","M","1","70000","0.05","1","0"
"6816","Волгоградский","Отечественные","Волгоградская область","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","44","7","1","800000","F","0","40000","0.045","1","1"
"6817","Воронежский","Иностранные","Воронежская область","","NISSAN","TERRANO","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Уверенный","Банк","Автосалоны","RN","Водители согласно перечню","54","24","0.9","600000","M","0","20000","0.03","1","1"
"6818","Волгоградский","Иностранные","Волгоградская область","","KIA","RIO","2017","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","47","11","0.95","400000","F","0","15000","0.04","1","1"
"6819","Московский","Иностранные","Владимирская область","","HYUNDAI","CRETA","2018","Да","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","44","17","0.95","1000000","M","0","30000","0.03","0","0"
"6820","Самарский","Иностранные","Самарская область","","RENAULT","SANDERO","2016","Нет","Состоит в браке","4","2","-2","Без франшизы","0","Классика","Банк","Розница","RN","Водители согласно перечню","44","13","1","600000","F","0","30000","0.045","0","0"
"6821","Краснодарский","Иностранные","Краснодарский край","","FORD","ECOSPORT","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","NB 0-1","Водители согласно перечню","46","20","0.95","800000","M","0","15000","0.015","1","0"
"6822","Московский","Иностранные","Московская область","","SKODA","OCTAVIA","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","36","17","1","1200000","M","0","35000","0.025","0","0"
"6823","Московский","Иностранные","Московская область","","MITSUBISHI","OUTLANDER","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","45","16","1","1400000","F","0","70000","0.045","0","1"
"6824","Нижегородский","Иностранные","Нижегородская область","","KIA","SPORTAGE","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Уверенный","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","50","18","1","1400000","M","0","25000","0.02","1","1"
"6825","Московский","Иностранные","Москва","","VOLVO","XC90","2013","Нет","Состоит в браке","5","3","-2","Франшиза 2-ой страховой случай","20000+","Классика","Без банка","Розница","RN","Водители согласно перечню","57","33","1.1","1000000","F","1","65000","0.065","1","1"
"6826","Московский","Иностранные","Москва","","VOLKSWAGEN","POLO","2017","Да","Состоит в браке","6","4","-2","Франшиза 2-ой страховой случай","20000+","Классика","Без банка","Розница","RN","Водители согласно перечню","33","12","0.9","800000","F","0","25000","0.035","1","1"
"6827","Тверской","Иностранные","Тверская область","","KIA","RIO","2016","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Уверенный","Без банка","Розница","NB 2+","Водители согласно перечню","58","5","0.95","600000","F","0","45000","0.075","0","1"
"6828","Московский","Иностранные","Московская область","","KIA","SPORTAGE","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","39","13","1","1200000","M","0","10000","0.005","0","0"
"6829","Тверской","Отечественные","Тверская область","","CHEVROLET","NIVA","2015","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Розница","NB 2+","Водители согласно перечню","58","6","1","0","F","0","10000","0.005","1","0"
"6830","Санкт - Петербургский","Иностранные","Санкт-Петербург","","VOLKSWAGEN","PASSAT","2010","Нет","Состоит в браке","0","0","-100","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Розница","RN sppg","Водители согласно перечню","63","28","1.05","600000","M","0","25000","0.035","1","1"
"6831","Уфимский","Отечественные","Республика Башкортостан","","LADA","2131","2014","Нет","Состоит в браке","0","0","-100","Без франшизы","0","Классика","Банк","Автосалоны","RN","Водители согласно перечню","53","35","1","200000","M","0","10000","0.025","1","0"
"6832","Краснодарский","Иностранные","Краснодарский край","","HYUNDAI","TUCSON","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","40","20","1.05","1600000","M","0","40000","0.025","1","0"
"6833","Екатеринбургский","Отечественные","Свердловская область","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","32","10","0.95","800000","M","0","35000","0.045","0","0"
